,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42
0,250000.0,263571.11812401377,277714.3281640262,292448.873524864,307794.13957353914,323769.55931543023,340394.49893001997,357688.119724723,375669.21252879937,394355.9999395885,413765.90114358766,433915.25325910904,454818.98228045204,476490.21574285394,498939.8281732986,522175.9092497553,546203.1433727428,571022.0880801969,596628.3374448599,436108.08873551385,412536.34462775657,390888.5936462181,371023.5657101522,352809.446400121,336123.04130329826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,375000.0,398481.1470772964,422898.3878348109,448282.6211021912,474665.4220836104,502079.0048328383,530556.1734850758,560130.2602170756,590835.0475723391,622704.6724011231,655773.508218124,690076.0222656666,725646.6029777692,762519.3528604357,800727.841024987,840304.808722463,881281.8202159213,923688.8501814168,967553.7975355386,1012901.914136643,1059755.1351896017,1108131.296394858,1158043.2209225385,1209497.6571704498,1262494.0460024632,1317023.093799645,1373065.1252527237,1430588.1874751644,1042682.1124004459,982215.2961299979,926350.1834298692,874739.866535908,827061.0867194993,783012.2936145779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,125000.0,130751.60745756705,136735.94270835063,142958.98153990856,149426.25855897594,156142.73312613624,163112.6313672587,170339.26064262917,177824.79242194913,185570.0090655695,135501.8066950004,128021.66327837897,121175.58543055046,114918.88031930856,109209.92157799954,104009.87518702666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,187500.0,205142.09513152187,223479.89288104355,242534.59919053572,262327.67611484136,282880.7758430096,304215.6599905073,326354.10160378506,349317.7669075853,373128.0733536668,397806.0199898587,423371.98555273784,449845.48898772924,477244.90630911564,505587.13682188705,534887.2107312708,565157.8290598802,596408.8255756457,628646.5391098532,661873.083224583,696085.4986934885,731274.7727238797,767424.7073249693,563157.4324569223,535361.9672487028,509696.4437476197,485995.50790829916,464104.5194267788,443878.6093272741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,437500.0,451638.3439692844,466136.12096075766,480986.0260145278,496177.4697299152,511696.018700553,369265.9304714804,343122.37491992395,318911.50974487327,296491.555682295,275730.9981237755,256507.81926483673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,312500.0,323691.42808939057,335259.41652092733,347215.63489353564,359572.0098016303,372340.71370595664,385534.1503422525,399164.9360618588,413245.87640124356,427789.93706527544,442810.2083798159,458319.8621203423,474332.09945211647,490860.0885208058,507916.89000704966,525515.3687004978,543668.0888542725,562387.1907452461,581684.2454843766,601570.0846898446,622054.6011491279,643146.5160498923,664853.1077497001,687179.8963780202,710130.2778195047,733705.0998160624,757902.1720515805,782715.7011570256,808135.640611942,834146.9445475885,860728.7135165667,887853.2194404296,640839.3573816479,595589.7316957213,553651.2250957517,514778.907044299,478745.5307216701,445340.21915964666,0.0,0.0,0.0,0.0,0.0
6,62500.0,76422.95007509446,91289.12388463515,107147.04966139833,124046.90161399497,142040.41283718866,161180.75164237645,181522.35362775496,203120.70043593092,226032.0345636662,250312.99777130547,276020.17856672144,303209.55189202743,331935.79150856525,362251.4326544264,275944.10154642793,275846.6979240077,276579.71972512733,278105.45851660136,280387.68122015183,283391.0961010698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,93750.0,101284.19337204883,109217.5363853015,117567.87112330574,126353.68022869814,135594.08887986597,145308.8623368382,155518.39807374845,166243.71133673374,177506.41275755232,189328.67640984955,201733.19641160112,214743.12984790304,228382.02340638227,242673.7206758424,257642.24654948924,273311.6645888437,289705.902534544,306848.54038691503,324762.5546140813,343470.0110711875,362991.69812561065,383346.69027777744,404551.831248271,426621.1240796771,449565.01429710555,331372.68543431186,317135.39530344476,304269.32358625735,292679.2969650446,282276.202852343,272976.3490344139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,343750.0,356158.93527049455,368901.8698757976,381976.262822501,395377.4101409625,409098.0620296432,423127.9841138484,437453.456120306,316439.6906212158,294983.4136585467,275094.9839293089,256657.4628978285,239562.26483172856,223708.52835695297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,468750.0,487433.80105033464,506894.4605854915,527164.9110158269,548279.4161799789,570273.6081230877,593184.521507804,617050.6248580217,641911.8476814494,667809.6023367262,694786.7992994125,722887.8542337904,752158.6849881563,782646.6962934914,814400.7495513574,847471.1146378228,881909.4001162007,917768.4576310539,955102.2555366018,993965.715980101,1034414.5086992165,1076504.793684559,1120292.9035857243,1165834.9552814215,1213186.3783709563,1262401.3464546364,1313532.0949347364,1366628.1066690122,1421735.1441324446,1478894.1037844499,1538139.6651043152,1599498.7032701753,1662988.4307639606,1728614.2293678392,1257456.9911433787,1181923.2796887928,1112657.457997373,1049224.9153503901,991222.0441747443,938273.607771944,0.0,0.0,0.0
10,218750.0,227826.1391913134,237227.01696167135,246961.11149959348,257036.6734078122,267461.6325807319,278243.48829586396,289389.1798747969,300904.9348939245,312796.0915075733,325066.89098530577,337720.23606157734,350757.41015242296,364177.75191656774,377978.27903799614,392153.25450053834,406693.68803783535,295110.7354375196,276334.93556724145,258985.43140622505,242956.7672192216,228150.88430152275,214476.53474795492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,156250.0,170480.8033636374,185443.13457390285,201168.07796584137,217687.8112295829,235035.61839806318,253245.8980486647,272354.16560434655,292397.0484162529,313412.2720714847,335438.63609109295,358515.97685801325,382685.1152353092,407987.78589344496,434466.5448520178,462164.6511459604,491125.9178370175,521394.52679546,553014.8007605689,586030.9251364517,620486.6107766156,656424.6876405118,693886.6176525604,732911.9133450048,773537.4469093543,815796.632111231,859718.4591421543,905326.3599030131,952636.8784685879,1001658.1186253504,736671.5562456084,702771.2672724259,671896.7621359911,643829.5818466274,618365.2339050696,595311.807324593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,406250.0,427565.9831569219,449568.0960050912,472266.2908505149,495668.8097191177,519781.8033586632,544608.8877691628,570150.6292250956,596403.94770072,623361.4275171151,651010.5229278486,679332.6452963536,495811.4822919035,467864.5303417701,441984.6247347583,418013.3412709913,395802.9977538296,375215.7802799125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,281250.0,293511.85261060105,306292.25432609575,319611.13732683717,333488.8698477524,347946.20310971903,363004.2038807808,378684.17005843535,395007.5262385372,411995.695747688,429669.94505684363,448051.1958565167,467159.79935064766,487015.2665096617,507635.9471071045,529038.6493440943,551238.1907401719,574246.8697410935,598073.846173515,622724.4172827791,648199.1746558129,472145.1181351524,444569.3633429145,419280.84531149693,396118.6670923397,374933.1868878868,355585.04730487283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,31250.0,36077.73971261962,41115.96142886637,46367.93204804999,36285.25770479541,37408.672481240086,38516.777812604065,39609.55982178767,40686.6110612488,41747.10276340163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,46875.0,54501.83803435069,62514.36914040976,70927.14698893801,79755.01970661864,89013.09348103644,98716.68639273058,108881.2706598099,119522.40117654973,130655.62787740244,142296.38905644638,154459.88231380848,167160.90927941934,180413.68967536674,194231.63961673144,208627.108314252,223611.06653005787,239192.7392533127,255379.17411460556,272174.7360626711,202706.36246803377,196607.29416036353,191137.0927050392,186248.17040890912,181895.50064075933,178036.28981952995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,296875.0,311698.8057267942,327135.682256831,240235.3537795627,228808.36714307425,218480.3863815391,209178.89245597352,200836.32060669095,193389.56502931388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,421875.0,436578.29664574086,451746.44535560516,467392.4729321495,483529.57869486016,500171.10373309714,517330.4935166061,535021.2527670633,553256.8913238167,572050.8595415184,591416.4715333233,611366.8143170284,631914.6406288638,653072.2428362255,674851.3050017523,697262.7297219057,720316.4358786101,744021.1228976673,768383.9964980384,793410.4502379505,819103.6964146398,845464.3390539928,872489.8808369713,900174.1548584875,928506.6711143838,957471.866584858,987048.2467608519,1017207.4054915588,1047912.9091841874,755383.3215287114,700727.257006716,650015.7247974077,602956.18760945,559277.3782306927,518727.74951053655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,171875.0,178489.63288506932,185332.35718512314,192407.26311704816,199717.83931644098,207266.82921044173,215056.06354183413,223086.2656143826,231356.82544324396,239865.53859960331,248608.3051499772,180305.14861039957,168730.13912386764,158051.14650877196,148203.0813246348,139125.45738550118,130762.02347279858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
